ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45457 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45457 MiB
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","0","256","0","2026-08-18T18:41:03Z","7168223613","17188753","35.713308","0.085538"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","0","256","4096","2026-08-18T18:41:24Z","7290501185","16343599","35.114302","0.078761"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","0","256","16384","2026-08-18T18:41:49Z","7537999064","3410237","33.961272","0.015362"
